PAYS,SUPERF_km2_IPUMS,POP_Total_IPUMS2010s,POP_Total_IPUMS2000s,POP_Total_GEOPOLIS2010s,POP_Total_GEOPOLIS2000s,SEXE_Hom_IPUMS2010s,SEXE_Fem_IPUMS2010s,SEXE_Hom_IPUMS2000s,SEXE_Fem_IPUMS2000s,AGE_0014_IPUMS2010s,AGE_1529_IPUMS2010s,AGE_3044_IPUMS2010s,AGE_4559_IPUMS2010s,AGE_6074_IPUMS2010s,AGE_75pl_IPUMS2010s,AGE_0014_IPUMS2000s,AGE_1529_IPUMS2000s,AGE_3044_IPUMS2000s,AGE_4559_IPUMS2000s,AGE_6074_IPUMS2000s,AGE_75pl_IPUMS2000s,POP_Urban_IPUMS2010s,POP_Rural_IPUMS2010s,POP_Unkwn_IPUMS2010s,POP_Urban_IPUMS2000s,POP_Rural_IPUMS2000s,POP_Unkwn_IPUMS2000s,POP_Urban_GEOPOLIS2010s,POP_Rural_GEOPOLIS2010s,POP_Urban_GEOPOLIS2000s,POP_Rural_GEOPOLIS2000s
Benin,115768,10096930,6854670,10749500,6411400,4930780,5166150,3323540,3531130,4701630,2693130,1566300,670820,325310,139740,3205480,1776280,1031660,461900,256320,123030,4464270,5574830,57830,2665610,4189060,0,5272300,5477200,2135000,4276400
Botswana,579643,2017520,1686760,2195100,1637700,983680,1033840,814840,871920,657770,614820,405090,202740,87130,44800,617480,522520,288920,140920,74490,37010,NA,NA,NA,NA,NA,NA,1224300,970800,799900,837800
Burkina Faso,273971,NA,14178240,18450500,11415600,NA,NA,6837030,7341210,NA,NA,NA,NA,NA,NA,6551380,3737120,2027130,1070470,539600,175530,NA,NA,NA,3217360,10960880,0,5272000,13178500,2432700,8982900
Cameroon,467164,NA,17723590,22179700,15113400,NA,NA,8758180,8965410,NA,NA,NA,NA,NA,NA,7689380,5081770,2691260,1369100,680160,211920,NA,NA,NA,8641830,9081760,0,12754400,9425300,5947500,9165900
Egypt,978964,NA,72824340,90626800,63849900,NA,NA,37241980,35582360,NA,NA,NA,NA,NA,NA,23104760,22804650,13490460,8997040,3689170,738260,NA,NA,NA,31081730,41742610,0,84375800,6251000,47007100,16842800
Ethiopia,1128125,NA,73756762,90078000,61999000,NA,NA,37258717,36498045,NA,NA,NA,NA,NA,NA,33189935,20806719,10877351,5310512,2709953,862292,NA,NA,NA,11838491,61918271,0,24292200,65785800,6520600,55478400
France,636028,64941801,63167190,63066860,59036272,31433663,33508139,30565466,32601725,12024446,11918236,12903649,13028714,9252676,5794614,11701731,12051128,13282377,12773486,8161300,5183070,50398469,14543332,0,47566730,15600460,0,40047620,23019240,37327445,21708828
Ghana,240101,24662890,18941330,27403000,18412200,12036910,12625980,9361690,9579640,9440510,6993340,4291180,2299350,1116050,522460,7825140,4976990,3130920,1645870,847610,514800,12546340,12116550,0,8287170,10654160,0,14236200,13166800,7066600,11345600
Guinea,245916,10509160,NA,10923800,7777700,5075810,5433350,NA,NA,4714110,2791090,1565240,834850,445660,158210,NA,NA,NA,NA,NA,NA,3651210,6857950,0,NA,NA,NA,4044600,6879200,2438100,5339600
Kenya,577236,NA,38419350,44156600,29551600,NA,NA,19046170,19373180,NA,NA,NA,NA,NA,NA,16543650,11070130,5961540,2920450,1320810,602770,NA,NA,NA,12034930,26384420,0,28559200,15597400,10599800,18951800
Lesotho,30596,NA,1802080,1998600,1868400,NA,NA,876140,925940,NA,NA,NA,NA,NA,NA,609460,584160,287990,180130,102850,37490,NA,NA,NA,415300,1386780,0,525100,1473500,309600,1558800
Liberia,96336,NA,3480570,4045200,2965400,NA,NA,1743240,1737330,NA,NA,NA,NA,NA,NA,1459440,1015580,575450,258510,118140,53450,NA,NA,NA,1634850,1845720,0,1715600,2329600,1040000,1925400
Malawi,96581,NA,13419770,16310400,10340800,NA,NA,6562300,6857470,NA,NA,NA,NA,NA,NA,6101860,3773840,1952770,888650,455520,237820,NA,NA,NA,1950350,11384330,85090,4836000,11474400,1423800,8917000
Mali,1256479,NA,14518560,17819000,10629600,NA,NA,7197760,7320800,NA,NA,NA,NA,NA,NA,6757420,3651830,2013490,1105510,549060,164090,NA,NA,NA,3271000,11247560,0,5697300,12121700,2501800,8127800
Mauritius,2036,1263320,1196730,1262600,1178800,624330,638990,593700,603030,261000,292150,285940,260750,118670,39810,298810,314030,294970,177190,82060,27760,506030,757290,0,511710,685240,0,1015900,246700,838200,340600
Morocco,674939,33414260,29654400,34165300,28205100,16657720,16756540,14635440,15018960,9398890,8774440,7087900,4969330,2323750,827880,9247500,8564900,5976960,3465740,1774960,591460,20210110,13149730,54420,0,0,0,19875900,14289400,14096500,14108600
Mozambique,782329,NA,20470480,26961300,16617300,NA,NA,9847770,10622710,NA,NA,NA,NA,NA,NA,9604660,5298520,3063020,1575500,699340,222330,NA,NA,NA,6214350,14256130,0,8926700,18034600,4769500,11847800
Rwanda,25405,10383690,8433920,11346300,7893200,4983020,5400670,4029140,4404780,4288750,3037560,1664660,890480,364430,135260,3694270,2561470,1226510,593870,274950,79960,1684920,8698770,0,1451970,6981950,0,6335300,5011000,1969600,5923600
Senegal,197153,13096358,9945620,14143200,9479400,6571803,6524555,4894680,5050940,5462250,3660051,2113137,1135608,553411,168767,4234110,2875770,1528700,768190,410500,128350,5929875,7166483,0,4039840,5905780,0,7156900,6986300,4043700,5435700
Sierra Leone,72786,7108910,4942980,7092100,4615800,3494400,3614510,2400210,2542770,2895360,2150540,1159740,542740,252900,102890,2061850,1356330,816400,391100,204050,99490,2938680,4170230,0,1860150,3082830,0,2592400,4499700,1293600,3322200
South Africa,1220969,55653938,47173595,54646600,44019300,27247402,28406537,22380334,24793261,16786587,15687129,11563203,7091722,3576851,942740,14468403,13700615,9369679,5959534,2736543,925205,35455104,20198834,0,28320221,18853374,0,38200800,16445800,24618500,19400800
South Sudan,655660,NA,7700997,12408200,7179600,NA,NA,3908708,3792289,NA,NA,NA,NA,NA,NA,3537574,2109497,1209591,543917,228322,72096,NA,NA,NA,1902024,5798973,0,3361900,9046300,836500,6343100
Sudan,1865948,NA,30505348,38435300,24516000,NA,NA,15413252,15092095,NA,NA,NA,NA,NA,NA,12853208,8418397,5144154,2411648,1246884,431057,NA,NA,NA,10038484,20466863,0,16335200,22100100,8863900,15652100
Tanzania,904628,44066724,33505374,48786200,32617000,21394307,22672418,16285710,17219664,19453921,11636402,7072904,3428559,1720463,754476,14961928,9067829,5065777,2444341,1422691,542808,15920963,28145762,0,7823328,25682046,0,18567200,30219000,10041100,22575900
Togo,57079,6292194,NA,6835000,4531300,3053304,3238890,NA,NA,2625532,1692686,1102258,529972,233713,108032,NA,NA,NA,NA,NA,NA,2368818,3923375,0,NA,NA,NA,3401500,3433500,1264200,3267100
Uganda,210723,35065460,24974490,35550600,22246700,17451590,17613870,12422470,12552020,16488270,9535700,5108510,2423750,1085850,423380,12062390,6785900,3499960,1459690,860860,305690,8428710,26636750,0,3060540,21913950,0,14041100,21509500,3372800,18873900
Zambia,753903,13219730,9961170,15474000,10285600,6501890,6717840,4969070,4992100,5982880,3828820,2017850,862760,392070,135350,4495620,2957990,1434030,653340,328160,92030,NA,NA,NA,3510720,6450450,0,6877700,8596300,3447000,6838600
Zimbabwe,391923,13093760,NA,13943200,11354000,6297100,6796660,NA,NA,5391740,3744600,2184540,983520,532480,228640,NA,NA,NA,NA,NA,NA,4076640,9017120,0,NA,NA,NA,4801000,9142200,3392800,7961200
